, Adaptability, All Around Friendliness, Exercise Needs, Health Grooming, Trainability,Adapts Well to Apartment Living,Affectionate with Family,Amount Of Shedding,Dog Friendly,Drooling Potential,Easy To Groom,Easy To Train,Energy Level,Exercise Needs,Friendly Toward Strangers,General Health,Good For Novice Owners,Incredibly Kid Friendly Dogs,Intelligence,Intensity,Potential For Mouthiness,Potential For Playfulness,Potential For Weight Gain,Prey Drive,Sensitivity Level,Size,Tendency To Bark Or Howl,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Wanderlust Potential
affenpinscher,3,3,4,2,3,5,5,1,4,1,3,2,4,3,3,4,4,1,4,3,4,4,3,3,3,1,2,1,3,3,2
afghan-hound,4,4,4,2,3,5,5,4,4,1,1,1,5,4,2,3,3,5,4,2,3,4,1,5,5,4,2,2,5,5,5
american-staffordshire-terrier,2,4,4,3,4,2,4,2,2,3,4,4,3,3,4,3,2,4,4,5,5,4,2,3,3,3,4,2,2,3,3
australian-terrier,3,3,5,3,4,5,4,1,2,1,5,3,5,4,3,5,3,3,4,5,1,5,3,5,2,1,5,2,3,4,4
basenji,4,5,3,3,4,5,5,1,4,5,5,1,5,5,5,2,4,5,4,1,5,2,2,5,3,2,1,4,1,4,5
beagle,3,5,5,3,4,4,5,3,5,1,4,1,4,4,5,1,3,5,4,5,3,5,5,5,4,2,5,1,2,4,5
bedlington-terrier,4,5,4,3,4,4,5,5,4,1,1,3,4,4,5,4,4,4,5,2,4,5,3,5,3,3,3,3,4,3,4
bernese-mountain-dog,2,5,4,4,4,1,5,5,3,4,3,4,4,3,5,1,2,5,4,3,5,4,4,5,4,5,4,1,5,1,3
black-and-tan-coonhound,3,5,5,4,4,1,5,5,5,3,4,2,5,5,5,5,2,5,5,5,1,5,5,5,3,3,5,2,4,4,5
bloodhound,3,5,4,3,4,1,5,4,5,5,1,3,5,5,5,3,2,5,4,4,5,3,3,3,4,4,4,2,3,3,5
border-collie,3,4,5,3,4,2,5,3,3,1,3,5,5,5,5,2,2,4,5,3,3,5,3,3,5,3,2,1,4,4,3
border-terrier,3,4,5,3,4,4,5,3,2,1,2,3,4,5,5,4,3,4,5,4,5,5,5,5,3,2,1,1,4,3,4
borzoi,4,4,2,4,4,5,4,5,4,1,4,3,2,2,4,4,3,3,4,2,3,3,2,5,5,5,2,1,4,3,4
bouvier-des-flandres,3,4,4,3,3,3,5,1,2,1,2,5,4,4,2,3,2,5,4,5,2,4,4,2,4,4,4,2,4,2,2
boxer,3,4,5,3,3,4,5,4,3,2,5,4,5,5,4,2,3,4,4,5,2,5,4,3,4,3,3,1,2,1,3
briard,3,4,4,2,4,3,4,1,5,1,1,4,4,4,2,3,3,5,4,4,2,4,3,3,4,4,4,3,4,3,5
chesapeake-bay-retriever,3,3,5,4,3,1,5,5,1,3,5,3,5,5,1,4,1,3,4,5,3,4,4,3,3,3,3,2,4,4,4
chihuahua,3,4,3,2,3,5,5,2,2,1,5,4,3,1,2,2,4,5,4,2,3,4,3,3,5,1,3,1,1,2,2
cocker-spaniel,4,4,3,3,4,5,5,3,4,1,1,5,4,3,3,4,3,3,4,2,4,4,4,5,5,2,3,1,4,3,4
collie,4,5,3,3,3,3,5,5,4,1,2,4,3,3,4,3,4,5,4,2,3,4,3,4,5,3,4,2,4,3,1
curly-coated-retriever,3,4,4,3,4,1,5,3,4,2,3,4,5,4,3,2,3,5,5,3,5,5,3,5,3,3,3,3,4,4,4
english-foxhound,3,4,5,3,4,1,4,3,5,1,5,3,5,5,3,4,2,4,3,4,4,5,2,5,3,3,4,4,3,3,5
english-setter,3,5,4,3,4,1,5,3,5,2,3,3,4,5,5,3,3,5,5,2,4,5,5,5,4,3,4,1,4,3,5
flat-coated-retriever,3,5,5,3,4,1,5,3,5,2,4,4,5,5,5,4,2,5,5,4,3,5,4,3,5,3,4,1,4,4,4
french-bulldog,3,4,4,3,3,5,5,3,4,1,5,4,3,2,4,2,5,4,3,4,3,5,4,2,3,2,3,1,2,1,2
giant-schnauzer,2,3,4,3,4,1,5,4,3,1,2,5,5,5,2,4,1,3,4,2,3,5,3,4,4,4,4,2,4,2,4
golden-retriever,3,5,4,4,4,2,5,5,5,4,2,5,5,5,5,2,3,5,5,2,5,5,5,3,5,3,3,1,3,3,2
gordon-setter,3,3,4,3,4,2,5,5,2,3,2,5,5,5,3,4,3,3,5,2,3,5,3,4,4,3,5,1,4,3,4
great-dane,2,5,5,4,3,1,5,5,5,4,5,5,5,5,5,4,1,5,3,5,2,5,2,3,5,5,4,1,2,3,3
great-pyrenees,3,4,5,4,4,1,5,5,4,2,4,1,5,5,3,2,1,4,4,5,2,4,4,5,4,5,5,3,5,3,5
greater-swiss-mountain-dog,3,5,4,3,3,1,5,3,5,1,5,3,5,3,3,2,2,5,3,4,3,5,4,4,4,5,4,3,5,1,3
ibizan-hound,3,5,5,3,4,5,5,3,5,1,5,3,5,5,4,4,3,5,4,3,3,5,1,5,4,3,2,2,1,4,5
irish-setter,3,5,5,3,5,1,5,4,5,2,3,4,5,5,5,2,3,5,5,3,5,5,3,5,4,4,4,2,4,3,5
irish-terrier,3,4,5,3,3,3,5,4,1,1,2,1,5,4,3,5,2,5,4,4,1,5,3,2,3,3,4,2,4,4,3
irish-water-spaniel,3,5,4,2,4,3,5,1,4,2,3,5,5,5,5,2,2,5,4,3,3,4,3,5,4,3,4,3,4,4,3
irish-wolfhound,2,5,3,3,3,1,5,3,5,1,3,3,2,4,5,1,2,5,4,2,3,4,3,5,3,5,1,2,4,2,3
italian-greyhound,3,5,4,3,4,5,5,2,4,1,5,3,4,4,4,3,5,5,3,2,4,4,2,5,5,2,3,1,1,3,3
keeshond,4,5,4,3,3,4,5,5,4,1,3,4,4,3,4,3,4,5,4,3,3,5,4,3,5,3,4,1,5,3,2
kerry-blue-terrier,3,4,4,2,4,3,4,1,2,1,2,4,4,5,5,3,2,4,4,4,4,4,3,3,3,3,4,3,4,3,3
komondor,3,3,3,3,4,2,5,3,1,2,2,4,2,4,1,2,1,3,4,1,3,4,3,2,4,4,5,1,4,3,4
kuvasz,3,2,4,4,2,1,5,4,2,3,4,2,4,5,1,4,1,1,4,4,1,4,4,1,5,5,3,1,5,2,3
labrador-retriever,3,5,5,4,4,1,5,5,5,3,5,5,5,5,5,3,3,5,5,5,5,5,5,2,5,4,4,2,3,3,3
lakeland-terrier,3,4,4,3,3,4,5,2,3,1,2,2,5,4,3,5,3,4,4,4,1,4,3,4,3,2,2,2,4,4,3
